Catalysed,促進された
of Obstruction,妨害の
of Occlusion,閉鎖の
of Restraint,自制の
of Movement,移動の
of Motion,動作の
of Freedom,自由の
of Liberation,解放の
of Abundance,豊富さの
of Plenty,豊作の
of Bounty,恵みの
of Incessance,持続の
of Perenniality,長期の
of Sealing,防水の
of Alleviation,軽減の
of Allaying,緩和の
of Assuaging,鎮痛の
of Earthing,避雷の
of Insulation,絶縁体の
of the Dielectric,誘電の
of Convection,対流の
of Thermodynamics,熱力学の
of Entropy,エントロピーの
of Thawing,雪解けの
of Damping,湿気りの
of Quashing,もみ消しの
of Quelling,抑え込みの
of Quenching,急冷の
of the Antitoxin,耐毒剤の
of the Remedy,医療の
of the Cure,治療の
of the Antidote,解毒剤の
of the Skunk,スカンクの
of the Hedgehog,ハリネズミの
of the Opossum,オポッサムの
of the Conger,アナゴの
of the Moray,ウツボの
of the Eel,ウナギの
of the Deer,鹿の
of the Walrus,セイウチの
of the Penguin,ペンギンの
of the Urchin,ウニの
of the Mussel,ムール貝の
of the Starfish,ヒトデの
of the Lizard,トカゲの
of the Skink,スキンクの
of the Iguana,イグアナの
of Runegleaming,ルーングリームの
of Runeshining,ルーンシャインの
of Runeblazing,ルーンブレイズの
of the Constant,絶え間なき
of the Continuous,恒久の
of the Endless,終わりなき
of the Bottomless,底なしの
of the Perpetual,不朽の
of the Eternal,永遠の
of the Wide,広さの
of the Copious,大量の
of the Plentiful,豊富さの
of the Bountiful,豊かさの
of the Abundant,余りある
of the Ample,たっぷりの
of the Apprentice,弟子の
of the Practitioner,練習生の
of the Mixologist,混合学者の
of the Distiller,蒸留者の
of the Brewer,醸造者の
of the Chemist,化学者の
of the Medic,医師の
of the Doctor,医者の
of the Surgeon,外科医の
of the Foliage,枝葉の
of the Verdant,新緑の
of the Sylvan,森の
Dense,濃い
Hearty,しっかりした
Compact,圧縮された
Potent,強力な
Sustained,継続する
Tenacious,しぶとい
Persistent,持続する
Persevering,粘り強い
Prolonged,延長された
Novice's,初心者の
Acolyte's,侍祭の
Summoner's,召喚師の
Conjurer's,祈祷師の
Necromancer's,死霊術師の
Herbal,薬草の
Floral,花のような
Blooming,咲き誇る
Sprouting,芽吹く
Petaled,花弁のある
Botanic,植物の
Natural,自然な
Evergreen,常緑の
Drizzling,霧雨降る
Soaked,ずぶ濡れの
Mistbound,霧縛の
Tidebound,潮縛の
Aqueous,水のような
Flooded,浸水した
Oceanic,大洋の
Raindancer's,雨乞師の
Sunny,日当たりよい
Dawnlit,夜明けの光の
Bright,晴朗な
Vibrant,煌めく
Lustrous,光沢ある
Sunburst,日輪の
